course_id,course_text,label,KA_label
Computer Networks I,"The course covers various aspects of computer networking, including (1) application layer protocols such as HTTP and SMTP, (2) transport layer (TCP/UDP) and congestion control, (3) routing and IP, and (4) link layer access protocols including Ethernet and 802.11.
Typical schedule:
Week 1: Network architecture, layering, and protocols.
Week 2: Principles of application-layer, application-layer protocols: FTP, SMTP, DNS. Week 3: HTTP, Web Caching and content delivery networks. Peer-to-peer applications. Week 4: Socket programming, introduction to transport layer protocols.
Week 5: Principles of reliable transfer, TCP reliable transfer implementation.
Week 6: TCP reliable transfer cont’d, RTT and timer, flow control, TCP connection management, state transition. Principles of congestion control.
Week 7: TCP congestion control. TCP performance: response time. TCP throughput Week 8: Introduction to network layer. Inside a router.
Week 9: IPv4 and IP Addressing. IPv6 and ICMP. Routing algorithms. Week 10: Internet routing architecture and protocols. Multicast routing. Week 11: Introduction to link layer. Multiple access protocols.
Week 12: Aloha protocol, CSMA. Efficiency of CSMA/CD. Ethernet. Week 13: LAN addressing and ARP. ATM networks.
Week 14: Wireless and mobile networks.","NC--Resource Allocation
NC--Mobility
",NC
CS144,"CS144 is an introductory course on computer networking, specifiically the Internet. The course how the Internet works, ranging from how bits are modulated on wireless networks to application-level protocols like BitTorrent and HTTP. It also explains the principles of network design, such as layering, packet switching, and the end-to-end argument. Students implement a handful of low-level protocols and services, including reliable transport, IP forwarding, and a Network Address Translation device. Students gain experience reading and understanding  RFCs (Internet Protocol specifications) as statements oof what a system should do. The course grounds many of the concepts in current practice and recent developments, such as net neutrality and DNS security.","NC--Introduction
NC--Networked Applications
NC--Reliable Data Delivery
NC--Routing and Forwarding
NC--Local Area Networks
NC--Resource Allocation
NC--Mobility
AR--Interfacing and Communication
SF--Cross-Layer Communications
SF--State and State Machines
SF--Evaluation
SF--Resource Allocation and Scheduling
SF--Reliability through Redundancy
","NC
AR
SF"
Computer Networks,The description found in the course catalog says: This course explores the principles underlying the design of computer networks. We will examine techniques for transmitting information efficiently and reliably over a variety of communication media. We will look at the addressing and routing problems that must be solved to ensure that transmitted data gets to the desired destination. We will come to understand the impact that the distributed nature of all network problems has on their difficulty. We will examine the ways in which these issues are addressed by current networking protocols such as TCP/IP and Ethernet. Students will meet weekly with the instructor in pairs to present solutions to problem sets and reports evaluating the technical merit of current solutions to various networking problems.,"AR--Interfacing and Communication
CN--Fundamentals
DS--Discrete Probability
IAS--Network Security
IAS--Cryptography
NC--Introduction
NC--Networked Applications
NC--Data Delivery
NC--Routing and Forwarding
NC--Local Area Networks
NC--Resource Allocation
NC--Mobility
OS--Overview of Operating Systems
SF--State-State Transition-State Machines
SF--Parallelism
SF--Resource Allocation and Scheduling
SF--Reliability through Redundancy
","AR
CN
DS
IAS
NC
OS
SF"
CSCI 432,"This course explores the design and implementation of computer operating systems. Topics include historical   aspects of operating systems development, systems programming, process scheduling, synchronization of concurrent processes, virtual machines, memory management and virtual memory, I/O and file systems, system security, OS/architecture interaction, and distributed operating systems. The concepts in this course are not limited to any particular operating system or hardware platform. We discuss examples that are drawn from historically significant and modern operating systems including Unix, Windows, Mach, and the various generations of Mac OS.
The objective of this course is threefold: to demystify the interactions between the software written in other courses and hardware, to familiarize students with the issues involved in the design and implementation of modern operating systems, and to explain the more general systems principles that are used in the design of all computer systems.","OS--Overview of Operating Systems
OS--Operating System Principles
OS--Concurrency
OS--Device Management
OS--File Systems
OS--Fault Tolerance
OS--Scheduling and Dispatch
OS--Memory Management
OS--Security and Protection
OS--Virtual Machines
PD--Communication and Coordination
PD--Parallel Performance
OS--System Performance Evaluation
SF--Resource Allocation and Scheduling
SF--Parallelism
SF--Cross-Layer Communications
SF--Virtualization and Isolation
NC--Reliable Data Delivery
NC--Networked Applications
NC--Routing and Forwarding
","PD
SF
OS
NC"
CS 420,"The course will study the basic concepts, design and implementation of operating systems. Topics to be covered include an overview of basic computing hardware components, operating system structures, process management, memory management, file systems, input/output systems, protection and security. The Windows and UNIX/Linux operating systems will be reviewed as implementation examples.
Overview of an Operating System
Computing Hardware Overview
Process Management
CPU Scheduling
Deadlocks and Synchronization
Memory Management
File systems and storage
Distributed Systems","OS--Overview of Operating Systems
OS--Operating System Principles
OS--Security and Protection
OS--Real Time and Embedded Systems
OS--Virtual Machines
OS--Device Management
OS--Scheduling and Dispatch
OS--Concurrency
OS--Memory Management
OS--File Systems
SF--Resource Allocation and Scheduling
SF--Virtualization and Isolation
PD--Parallelism Fundamentals
PD--Distributed Systems
","OS
SF
PD"
CPSC 3380,"An operating system (OS) defines an abstraction of hardware and manages resource sharing among the computer’s users. The OS shares the computational resources such as memory, processors, networks, etc. while preventing individual programs from interfering with one another. After successful completion of the course, students will learn how the programming languages, architectures, and OS interact.
After a brief history and evolution of OS, the course will cover the major components of OS. Topics will include process, thread, scheduling, concurrency (exclusion and synchronization), deadlock (prevention, avoidance, and detection), memory management, IO management, file management, virtualization, and OS’ role for realizing distributed systems. The course will also cover protection and security with respect to OS.","OS--Overview of Operating Systems
OS--Operating System Principles
OS--Scheduling and Dispatch
SF--Resource Allocation and Scheduling
OS--Concurrency
OS--Memory Management
OS--File Systems
SF--Virtualization and Isolation
OS--Virtual Machines
OS--Device Management
PD--Parallelism Fundamentals
PD--Distributed Systems
OS--Security and Protection
OS--Real Time and Embedded Systems
","OS
SF
PD"
582219,"Understand OS services to applications, concurrency problems and solution methods for them, OS basic structure, principles and methods of OS implementation.
OS history, process, threads, multicore, concurrency problems and their solutions, deadlocks and their prevention, memory management, virtual memory, scheduling, I/O management, disk scheduling, file management, embedded systems, distributed systems.","OS--Overview of Operating Systems
AR--Memory System Organization
SF--Computational Paradigms
SF--Cross-Layer Communication
SF--Parallelism
OS--Operating System Principles
OS--Concurrency
PD--Communication- Coordination
OS--Scheduling and Dispatch
OS--Memory Management
OS--Security and Protection
OS--Virtual Machines
OS--Device Management
OS--File Systems
OS--Real Time and Embedded Systems
PD--Parallel Architectures
","OS
AR
SF
PD"
RU STY1,"The operating system abstracts hardware from software through a multitude of interfaces. Operating systems strive  to share devices, memory and other computational resources between competing users and programs in a fast, robust and accurate manner. The course will explain what’s under the hood of typical operating system abstractions, with special emphasis on the treatment of memory and the CPU, including assembly. At the end of the course students will understand how the OS interacts with hardware, how higher level systems interact with the OS, and be able to program against these lower-level abstractions.
The course covers many of the fundamentals of computer architecture and operating systems: x86 assembly, virtual memory, caches, processes, signals, threads, process communication, concurrency and deadlocks, scheduling, dynamic memory management, I/O management, virtual machines and the basics of network programming, file systems, and security.","OS--Overview of Operating Systems
OS--Operating System Principles
AR--Machine-level representation of data
AR--Assembly level machine organization
OS--Scheduling and Dispatch
SF--Resource Allocation and Scheduling
OS--Concurrency
OS--Memory Management
SF--Proximity
AR--Memory system org. and arch.
PL--Runtime systems
OS--File Systems
SF--Virtualization and Isolation
OS--Virtual Machines
IAS--Defensive Programming
OS--Security and Protection
SF--Support For Parallelism
NC--Networked applications
","OS
AR
SF
PL
IAS
NC"
Parallel Programming Principle and Practice,"This section covers the very basics of parallel computing, and is intended for someone who is just becoming acquainted with the subject. It begins with a brief overview, including concepts and terminology associated with parallel computing. The topics of parallel memory architectures and programming models are then explored. These topics are followed by a discussion on a number of issues related to designing parallel programs.
Why Parallel Programming? Parallel Architecture
Parallel Programming Models Parallel Programming Methodology Parallel Programming: Performance
Typical Issues Solved by Parallel Programming
This section concludes with several examples of how to parallelize simple serial programs. Including: threads and shared memory programming with TBB and OpenMP, SIMD programming model and Cuda & OpenCL, programming using the Message Passing Paradigm, parallel computing with MapReduce.
Shared Memory Programming and OpenMP: A High Level Introduction Case Studies: Threads programming with TBB
Programming Using the Message Passing Paradigm Introduction to GPGPUs and CUDA Programming Model Parallel Computing with MapReduce
Parallel Programming Case Study and Assignment","PD--Parallelism Fundamentals
PD--Parallel Decomposition
PD--Communication and Coordination
PD--Parallel Algorithms, Analysis, and Programming
PD--Parallel Architecture
PD--Parallel Performance
PD--Distributed Systems
PD--Formal Models and Semantics
",PD
Introduction to Parallel Programming,"Introduction to Parallel Programming 
Overview of Parallel System Architectures
Modeling and Analysis of Parallel 
Computations Communication Complexity Analysis of Parallel Algorithms 
Parallel Programming with MPI
Parallel Programming with OpenMP 
Principles of Parallel Algorithm Design
Parallel Algorithms for Solving Time Consuming Problems (Matrix calculation, System of linear equations, Sorting, Graph algorithms, Solving PDE, Optimization)
Modeling the parallel program executing
","PD--Parallelism Fundamentals
PD--Parallel Decomposition
PD--Communication and Coordination
PD--Parallel Algorithms, Analysis, and Programming
PD--Parallel Architecture
PD--Parallel Performance
PD--Formal Models and Semantics
",PD
CS453,"CS 453 teaches students how to implement compilers. Although most computer science professionals do not end up implementing a full compiler, alumni of this course are surprised by how often the skills they learn are used within industry and academic settings. The subject of compilers ties together many concepts in computer science: the theoretical concepts of regular expressions and context free grammars; the systems concept of layers including programming languages, compilers, system calls, assembly language, and architecture; the embedded systems concept of an architecture with restricted resources; and the software engineering concepts of revision control, debugging, testing, and the visitor design pattern.  Students write a compiler for a subset of Java called  MeggyJava. We compile MeggyJava to the assembly language for the ATmega328p microcontroller in the Meggy Jr RGB devices.
Regular and context free languages including DFAs and NFAs.
Scanning and parsing
Finite state machines and push down automata
FIRST and FOLLOW sets
Top-down predictive parsing
LR parse table generation Meggy Jr Simple runtime library
AVR assembly code including the stack and heap memory model Abstract syntax trees
Visitor design pattern
Semantic analysis including type checking Code generation for method calls and objects Data-flow analysis usage in register allocation Iterative compiler design and development Test-driven development and regression testing Revision control and pair programming","AL--Basic Automata Computability and Complexity
AL--Advanced Automata Computability and Complexity
PL--Event-Driven and Reactive Programming
PL--Program Representation
PL--Language Translation and Execution
PL--Syntax Analysis
PL--Compiler Semantic Analysis
PL--Code Generation
PL--Runtime Systems
PL--Static Analysis
PL--Language Pragmatics
SE--Software Verification and Validation
SE--Software Design
SE--Software Processes
","AL
PL
SE"
Csc 453,"This course covers the design and implementation of translator-oriented systems software, focusing specifically on compilers, with some time spent on related topics such as interpreters and linkers.
Background. Compilers as translators. Other examples of translators: document-processing tools such as ps2pdf and latex2html; web browsers; graph-drawing tools such as dot; source-to-source translators such as f2c; etc.
Lexical analysis. Regular expressions; finite-state automata and their implementation. Scanner- generators: flex.
Parsing. Context-free grammars. Top-down and bottom-up parsing. SLR(1) parsers. Parser-generators: yacc, bison.
Semantic analysis. Attributes, symbol tables, type checking.
Run-time environments. Memory organization. Stack-based environments.
Intermediate representations. Abstract syntax trees, three-address code. Code generation for various language constructs. Survey of machine-independent code optimization.
Interpreters. Dispatch mechanisms: byte-code, direct-threading, indirect-threading. Expression evaluation: Registers vs. operand stack. Just-in-time compilers. Examples: JVM vs. Dalvik for Java; Spidermonkey for JavaScript; JIT compilation in the context of web browsers.
Linking. The linking process, linkers and loaders. Dynamic linking.","PL--Program Representation
PL--Language Translation and Execution
PL--Syntax Analysis
PL--Compiler Semantic Analysis
PL--Code Generation
PL--Runtime Systems
",PL
CSCI 434T,"Overview of compilation
Lexical analysis
Context-free grammars, top-down and bottom-up parsing, error recovery Abstract syntax trees, symbol tables
Lexical scoping, types (primitive, record, arrays, references), type checking Object-oriented type systems, subtyping, interfaces, traits
Three-address code and other intermediate representations
Code generation, data representation, memory management, object layout Code transformation and optimization
Class hierarchy analysis Dataflow analysis Register allocation
Run-time systems, just-in-time compilation, garbage collection","PL--Basic Type Systems
PL--Program Representation
PL--Language Translation and Execution
PL--Syntax Analysis
PL--Compiler Semantic Analysis
PL--Code Generation
PL--Runtime Systems
PL--Static Analysis
SE--Software Design
AR--Machine-level representation of data
AR--Assembly level machine organization
","PL
SE
AR"
Compilers,"The course covers the design, definition and implementation of programming languages. Students who have been through the class will be able to specify and implement language syntax using regular expressions or context free grammars as appropriate. Students will understand the distinction between no typing, static typing and dynamic typing and be able to implement simple static type systems as well as perform standard syntax analysis for scoping  of global, local, and class-visible names. Students will understand the difference between compile time and run time and be able to reason about and make decisions about what should be done at which time. Students will also be introduced to formal semantics as a form of specification of the behavior of a programming language and be able to use formal semantics in the construction of a compiler. Run-time structures such as the stack, activation records and static data such as string constants and dispatch tables are covered.  All of the topics up to this point will also be   used as part of a large course project to build a simple compiler for a statically typed object oriented language.
Additional topics include register allocation, garbage collection, dataflow analysis, and optimization.","PL--Object-Oriented Programming
PL--Basic Type Systems
PL--Program Representation
PL--Language Translation and Execution
PL--Syntax Analysis
PL--Compiler Semantic Analysis
PL--Code Generation
PL--Runtime Systems
PL--Static Analysis
PL--Type Systems
PL--Formal Semantics
PL--Language Pragmatics
",PL
Languages and Compilers,"To describe structures (i.e., “formulas”) using grammars;
To parse, i.e., to recognize (build) such structures in (from) a sequence of symbols; To analyze grammars to see whether or not specific properties hold;
To compose components such as parsers, analyzers, and code generators; To apply these techniques in the construction of all kinds of programs;  To familiarize oneself with the concept of computability.
Context-free grammars and languages Concrete and abstract syntax
Regular grammars, languages, and expressions Pumping lemmas
Grammar transformations Parsing, parser design
Parser combinators (top-down recursive descent parsing) LL parsing
LR parsing
Semantics: datatypes, (higher-order) folds and algebras","PL--Program representation
PL--Language Translation and Execution
PL--Syntax analysis
PL--Compiler Semantic Analysis
PL--Code Generation
PL--Language Pragmatics
AL--Basic Automata Computability and Complexity
AL--Advanced Automata Theory and Computability
PL--Functional Programming
","PL
AL"
COMP 412,"Scanning, parsing, semantic elaboration, intermediate representation, implementation of the procedure as an abstraction, implementation of expressions, assignments, and control-flow constructs, brief overview of optimization, instruction selection, instruction scheduling, register allocation. (Full syllabus is posted on the website, listed above.)","AL--Basic Automata Computability and Complexity
AL--Advanced Automata Theory and Computability
PL--Program Representation
PL--Language Translation and Execution
PL--Syntax Analysis
PL--Compiler Semantic Analysis
PL--Code Generation
","PL
AL"
CSC 131,"A thorough examination of issues and features in programming language design and implementation, including language-provided data structuring and data-typing, modularity, scoping, inheritance, and concurrency.
Compilation and run-time issues. Introduction to formal semantics. Specific topics include: Overview of compilers and Interpreters (including lexing & parsing)
Lambda calculus
Functional languages (via Haskell)
Formal semantics (mainly operational semantics) Writing interpreters based on formal semantics Static and dynamic type-checking
Run-time memory management Data abstraction & modules
Object-oriented languages (illustrated via Java and Scala)
Shared memory parallelism/concurrency (semaphores, monitors, locks, etc.)
Distributed parallelism/concurrency via message-passing (Concurrent ML, Scala Actors)","PL--Object-Oriented Programming
PL--Functional Programming
PL--Event-Driven and Reactive Programming
PL--Basic Type Systems
PL--Program Representation
PL--Language Translation and Execution
PL--Syntax Analysis
PL--Compiler Semantic Analysis
PL--Advanced Programming Constructs
PL--Concurrency and Parallelism
PL--Type Systems
PL--Formal Semantics
PL--Language Pragmatics
PD--Parallelism Fundamentals
PD--Parallel Decomposition
PD--Communication & Coordination
","PL
PD"
CSCI 1730,"The course uses definitional interpreters and related techniques to teach the core of several programming languages.
The course begins with a quick tour of writing definitional interpreters by covering substitution, environments, and higher-order functions. The course then dives into several topics in depth:
Mutation
Recursion and cycles Objects
Memory management Control operators Types
Contracts
Alternate evaluation models","PL--Object-Oriented Programming
PL--Functional Programming
PL--Basic Type Systems
PL--Language Translation and Execution
PL--Runtime Systems
PL--Advanced Programming Constructs
PL--Type Systems
PL--Language Pragmatics
PL--Logic Programming
",PL
CSC 2/454,"CSC 2/454 is an introduction to the design and implementation of programming languages.  From the design point  of view, it covers language features as tools for expressing algorithms. From the implementation point of view, it covers compilers, interpreters, and virtual machines as tools to map those features efficiently onto modern computer hardware. The course touches on a wide variety of languages, both past and present, with an emphasis on modern imperative languages, such as C++ and Java, and, to a lesser extent, on functional languages such as Scheme and Haskell, and dynamic (scripting) languages such as Perl, Python, and Ruby.  Rather than dwell on the features of  any particular language, it focus on fundamental concepts and on the differences among languages, the reasons for those differences, and the implications those differences have for language implementation.
Specific topics include:
formal aspects of syntax and semantics naming, scoping, and binding
scanning, parsing, semantic analysis, and code generation control flow, subroutines, exception handling, and concurrency type systems, data abstraction mechanisms, and polymorphism run-time systems, virtual machines, and storage management
imperative, functional, logic-based, and object-oriented programming paradigms programming environments and tools","PL--Object-Oriented Programming
PL--Functional Programming
PL--Basic Type Systems
PL--Program Representation
PL--Language Translation and Execution
PL--Syntax Analysis
PL--Compiler Semantic Analysis
PL--Runtime Systems
PL--Advanced Programming Constructs
PL--Concurrency and Parallelism
PL--Type Systems
PL--Language Pragmatics
",PL
CSE341,"Internalize an accurate understanding of what functional and object-oriented programs mean Develop the skills necessary to learn new programming languages quickly
Master specific language concepts such that they can recognize them in strange guises Learn to evaluate the power and elegance of programming languages and their constructs
Attain reasonable proficiency in the ML, Racket, and Ruby languages and, as a by-product, become more proficient in languages they already know
Syntax vs. semantics
Basic ML programming: Pairs, lists, datatypes and pattern-matching, recursion Higher-order functions: Lexical scope, function closures, programming idioms Benefits of side-effect free programming
Type inference
Modules and abstract types Parametric polymorphism Subtyping
Dynamically typed functional programming Static vs. dynamic typing
Lazy evaluation: thunks, streams, memoization Implementing an interpreter
Implementing function closures
Dynamically typed object-oriented programming Inheritance and overriding
Multiple inheritance vs. interfaces vs. mixins
Object-oriented decomposition vs. procedural/functional decomposition
… a few more minor topics in the same basic space","PL--Object-Oriented Programming
PL--Functional Programming
PL--Basic Type Systems
PL--Program Representation
PL--Language Translation and Execution
PL--Advanced Programming Constructs
PL--Type Systems
PL--Language Pragmatics
",PL
CSCI 334,"Functional programming concepts in Lisp Syntax, semantics, and evaluation strategies
ML programming, including basic types, datatypes, pattern matching, recursion, and higher order functions
Types, dynamic/static type checking, type inference, parametric polymorphism Run-time implementations: stacks, heaps, closures, garbage collection Exception handlers
Abstract types and modularity
Object-oriented programming and systems design
Object-oriented language features: objects, dynamic dispatch, inheritance, subtyping, etc. Multiple inheritance vs. interfaces vs. traits
Scala programming, including most basic language features. Language-based security mechanisms and sandboxing Models of concurrency: shared memory and actors","PL--Object-Oriented Programming
PL--Functional Programming
PL--Basic Type Systems
PL--Program Representation
PL--Language Translation and Execution
PL--Advanced Programming Constructs
PL--Concurrency and Parallelism
PL--Type Systems
PL--Formal Semantics
PL--Language Pragmatics
IAS--Secure Software Design and Engineering
PD--Parallelism Fundamentals
PD--Parallel Decomposition
PD--Communication & Coordination
","PL
IAS
PD"
Programming Languages and Techniques I,"Programming Design and Testing
Persistent Data Structures & Functional programming Trees & Recursion
Mutable Data Structures (queues, arrays) First-class computation (objects, closures) Types, generics, subtyping
Abstract types and encapsulation
Functional, OO, and Event-driven programming","AL--Fundamental Data Structures and Algorithms
DS--Graphs and Trees
HCI--Programming Interactive Systems
PL--Object-Oriented Programming
PL--Functional Programming
PL--Event-Driven and Reactive Programming
PL--Basic Type Systems
PL--Language Translation and Execution
PL--Advanced Programming Constructs
SDF--Algorithms and Design
SDF--Fundamental Programming Concepts
SDF--Fundamental Data Structures
SDF--Development Methods
","AL
DS
HCI
PL
SDF"
15-312,"This is a course on the theory of programming languages. Why study these principles? Because they are fundamental to the design, implementation, and application of programming languages.
Programming language design is often regarded as largely, or even entirely, a matter of opinion, with few, if any, organizing principles, and no generally accepted facts. Dozens of languages are in everyday use in research laboratories and in industry, each with its adherents and detractors. The relative merits of languages are debated endlessly, but always, it seems, with an inconclusive outcome. Some would even suggest that all languages are equivalent, the only difference being a matter of personal taste. Yet it is obvious that programming languages do matter!
Yet can we really say that Java is “better” (or “worse”) than C++? Is Scheme “better” than Lisp? Is ML “better”   than either of them? Can we hope to give substance to any of these questions? Or should we simply reserve them for late night bull sessions over a glass of beer? While there is certainly an irreducible subjective element in programming language design, there is also a rigorous scientific theory of programming languages that provides a framework for posing, and sometimes answering, such questions. To be sure there are good questions for which current theory offers no solutions, but surprisingly many issues are amenable to a rigorous analysis, providing definite answers to many questions. Programming language theory liberates us from the tar pit of personal opinion, and elevates us to the level of respectable scientific discourse.
Programming language theory is fundamental to the implementation of programming languages, as well as their design. While compiler writers have long drawn on the theory of grammars for parsing and on graph theory for register allocation, the methods used to compile well-known languages such as C do not rely on deep results from programming language theory. For relatively simple languages, relatively simple compilation methods suffice. But as languages become more sophisticated, so must more sophisticated methods be employed to compile them.
For example, some programs can be made substantially more efficient if code generation is deferred until some run- time data is available. A tight inner loop might be ``unrolled'' into a linear instruction sequence once the iteration bound is determined. This is one example of partial evaluation, a technique for program specialization that rests on 
results from programming language theory. To take another example, modern languages such as ML (and proposed extensions of Java) include what are known as parameterized types to support flexible code re-use. Parameterized types complicate compilers considerably because they must account for situations in which the type of a variable or function argument is not known at compile time. The most effective methods for handling parameterized types rely on typed intermediate languages with quite sophisticated type systems. Here again programming language theory provides the foundation for building such compilers.
Programming language theory has many applications to programming practice. For example, “little languages” arise frequently in software systems -- command languages, scripting languages, configuration files, mark-up languages, and so on. All too often the basic principles of programming languages are neglected in their design, with all too familiar results. After all, the argument goes, these are “just” scripting languages, or “just” mark-up languages, why bother too much about them? One reason is that what starts out as “just” an ad hoc little language often grows into much more than that, to the point that it is, or ought to be, a fully-fledged language in its own right. Programming language theory can serve as a guide to the design and implementation of special purpose, as well as general  purpose, languages.
Another application of the theory of programming languages is to provide a rigorous foundation for software engineering. Formal methods for software engineering are grounded in the theory of specification and verification. A specification is a logical formula describing the intended behavior of a program. There are all kinds of specifications, ranging from simple typing conditions (“the result is a floating point number between 0 and 1”) to complex invariants governing shared variables in a concurrent program. Verification is the process of checking that the implementation indeed satisfies the specification. Much work has gone into the development of tools for specifying and verifying programs. Programming language theory makes precise the connection between the code and its specification, and provides the basis for constructing tools for program analysis.
The theory of programming languages provides a “reality check” on programming methodology, that part of  software engineering concerned with the codification of successful approaches to software development. For example, the merits of object-oriented programming for software development are well known and widely touted. Object-oriented methodology relies heavily on the notions of subtyping and inheritance. In many accounts these two notions are confused, or even conflated into one concept, apparently because both are concerned with the idea of one class being an enrichment of another. But careful analysis reveals that the two concepts are, and must be, distinct: confusing them leads to programs that violate abstraction boundaries or even incur run-time faults.
The purpose of this course is to introduce the basic principles, methods, and results of programming languages to undergraduate students who have completed the introductory sequence in computer science at Carnegie Mellon. I intend for students to develop an appreciation for the benefits (and limitations) of the rigorous analysis of programming concepts.
The development is based on type theory, a general theory of computation that encompasses all aspects of programming languages, from the data with which we compute to the means by which we structure programs. Programming language “features” are viewed as manifestations of type structure. Basic data structures such as tuples arise as product types, trees and graphs arise as recursive types, and procedures arise as monadic function types. Each language concept is defined by giving its statics, which specify how it interacts with other parts of a program, and its dynamics, which specifies how it is executed on a computer. Type safety is the coherence of the statics with the dynamics; safety is proved as a mathematical theorem governing each language feature.  The specific topics vary from one semester to the next, but the course typically covers finite and infinite data structures, higher-order functions, continuations, mutable storage, data abstraction and polymorphism, so-called dynamic typing, parallel computation, laziness, and concurrency, all presented in a single unifying framework.","AL--Basic Analysis
DS--Sets, Relations,Functions
DS--Logic
DS--Proof techniques
OS--Concurrency
OS--Scheduling
PD--Parallelism Fundamentals
PD--Parallel Decomposition
PD--Parallel Algorithms, Analysis, and Programming
PL--Object-oriented Programming
PL--Functional Programming
PL--Event-Driven and Reactive Programming
PL--Basic type systems
PL--Program Representation
PL--Language Translation and Execution
PL--Compiler Semantic Analysis
PL--Advanced Programming Constructs
PL--Type Systems
PL--Formal Semantics
","AL
DS
OS
PD
PL"
15-150,"to write parallel functional programs
to analyze programs’ sequential and parallel time complexity
to write mathematical specifications and verify that programs meet them 
to structure programs using modules and abstract types
In the first three weeks of the course, students learn to write basic sequential functional programs on numbers and lists, to analyze their time complexity, and to prove mathematical correctness specifications using induction.  Parallelism is introduced in the fourth week:  Students learn to write data-parallel functional programs. They learn to analyze not just the usual sequential complexity of programs, but their parallel complexity, and how this influences algorithm and data structure design. An early example is sorting: One might think that mergesort would have logarithmic parallel complexity, because as a sorting problem is repeatedly divided in half, the length of the longest dependency is logarithmic. However, with lists as the data structure, mergesort has a linear parallel complexity, because just the operation of splitting a list into two halves takes linear time, independently of how many processors are available.  This motivates studying mergesort on trees, which has a sublinear parallel complexity. Because the parallelism is deterministic, students can reason about the behavior of their programs as if they were sequential, but run them in parallel.  These  programming, analysis, and verification skills continue to be interwoven throughout the remainder of the course, as students learn more advanced techniques.
Overall, students learn the following aspects of programming, analyzing, and proving:
The organization of programming languages by types
Computing by calculation: how programs are evaluated
Recursive functions and proofs by induction
Asymptotic analysis and recurrence relations
Tree parallelism
Datatypes, pattern-matching, and structural recursion/induction
Parametric polymorphism
Higher-order functions
Continuation-passing style
Exceptions
Cost semantics
Vector parallelism and map-reduce
Modules and abstract types
Imperative programming
Interaction of parallelism and effects
Laziness and streams
The course is taught in Standard ML. A variety of examples are used to teach these skills, including sequential and parallel sorting, map-reduce algorithms, regular expression matching, n-body simulation, and game-tree search. The assignments integrate parallel programming, analysis, and verification.  For example, in one key assignment,  students write and prove correct a regular expression matcher, combining an advanced programming technique  called continuation-passing-style with sophisticated inductive reasoning.  In another, students implement an algorithm for n-body simulation that has good sequential and parallel complexity, using a mix of tree- and vector- parallelism.","AL--Basic Analysis
AL--Algorithmic Strategies
AL--Fundamental Data Structures and Algorithms
AL--Advanced Data Structures Algorithms and Analysis
DS--Basic logic
DS--Proof techniques
PD--Parallelism Fundamentals
PD--Parallel Decomposition
PD--Parallel Algorithms, Analysis, and Programming
PL--Functional Programming
PL--Basic Type Systems
PL--Advanced Programming Constructs
PL--Concurrency and Parallelism
PL--Type systems
SDF--Algorithms and Design
SDF--Fundamental Programming Concepts
SDF--Fundamental Data Structures
SDF--Development Methods
SE--Software Verification and Validation
","AL
DS
PD
PL
SDF
SE"
CIS 133J,"Object-oriented programming concepts 
Objects, classes
State, behavior
Methods, fields, constructors 
Variables,  parameters Scope, 
lifetime
Abstraction, modularization, encapsulation 
Method overloading
Data types
Conditional statements, logical expressions 
Loops
Collection processing 
Using library classes 
UML class diagrams 
Documentation 
Debugging
Use of an IDE","AL--Fundamental Data Structures and Algorithms
PL--Object-Oriented Programming
PL--Basic Type Systems
PL--Language Translation and Execution
SDF--Algorithms and Design
SDF--Fundamental Programming Concepts
SDF--Fundamental Data Structures
SDF--Development Methods
","AL
PL
SDF"
Introduction to Computer Science,"This course has five distinct modules of roughly three weeks each:
(1) We begin with conditionals and recursion, practicing a functional problem-solving approach to a variety of homework problems. Python is the language in which students solve all of their assignments in this module.
(2) In the second module students investigate the fundamental ideas of binary representation, combinational circuits, machine architecture, and assembly language; they complete assignments in each of these topics using Python, Logisim, and a custom-built assembly language named Hmmm. This unit culminates with the hand- implementation of a recursive function in assembly, pulling back the curtain on the “magic” that recursion can sometimes seem.
(3) Students return to Python in the third module, building imperative/iterative idioms and skills that build from the previous unit’s assembly language jumps. Creating the Mandelbrot set from scratch, Markov text-generation, and John Conway’s Game of Life are part of this module’s student work.
(4) The fourth module introduces object-oriented skills, again in Python, with students implementing a Date calculator, a Board class that can host a game of Connect Four, and a Player class that implements game-tree search.
(5) The fifth module introduces mathematical and theoretical facets of computer science, including finite-state machines, Turing machines, and uncomputable functions such as Kolmogorov complexity and the halting problem. Small assignments use JFLAP to complement this in-class content, even as students’ work centers on a medium-sized Python final project, such as a genetic algorithm, a game using 3d graphics with the VPython library, or a text-analysis web application.","AL--Algorithmic Strategies
AL--Basic Automata, Computability and Complexity
AR--Digital logic and digital systems
AR--Machine level representation of data
AR--Assembly level machine organization
PD--Parallelism Fundamentals
PL--Object-Oriented Programming
SDF--Algorithms and Design
SDF--Fundamental Programming Concepts
SDF--Fundamental Data Structures
","AL
AR
PD
PL
SDF"
