course_id,course_text,KA_label
Big Data Analytics in Healthcare,"Data science plays an important role in many industries. In facing massive amounts of heterogeneous data, scalable machine learning and data mining algorithms and systems have become extremely important for data scientists. The growth of volume, complexity and speed in data drives the need for scalable data analytic algorithms and systems.
In this course, we study such algorithms and systems in the context of healthcare applications.
In healthcare, large amounts of heterogeneous medical data have become available in various healthcare organizations (payers, providers, pharmaceuticals). This data could be an enabling resource for deriving insights for improving care delivery and reducing waste. The enormity and complexity of these datasets present great challenges in analyses and subsequent applications to a practical clinical environment.
In this course, we introduce the characteristics of medical data and associated data mining challenges in dealing with such data. We cover various algorithms and systems for big data analytics. We focus on studying those big data techniques in the context of concrete healthcare analytic applications such as predictive modeling, computational phenotyping and patient similarity.","IS
NC
SP"
Computer Networks and the Internet,"The Internet has become integral to our daily lives. Despite its importance to users, most have only a general idea of how it works. If you’re eager to learn more about the Internet and computer networks in general, this course is for you!This course was created in collaboration with the Lübeck University of Applied Scienceswith support from theGerman Federal Ministry of Education and Research (BMBF).
In this course, you will learn about technologies that you use at home like Wireless LAN. We will also illustrate how the Internet works on a global scale and investigate the role of major protocols; in particular the Internet Protocol (version 4 and version 6) and its helper protocols (e.g., ICMP, ARP, DHCP).
You’ll learn how the protocols TCP and UDP are used to realize applications. Out of the many applications that the Internet has, the Hypertext Transfer Protocol is focused on as the lead example since it is the main protocol for the Web.
Key tools will be introduced and used, including the network protocol analyzer Wireshark, the network emulators eNSP and WANem, command line tools ping and traceroute, Firefox browser Add-Ons like IPvFox, and many test web pages.
This course uses videos and texts to provide an overarching foundation, augmented with practical exercises so that you can experiment and explore on your own.
A portion of the profit from verified certificates in this course will go toward Kiron Open Higher Education. Kiron enables access to higher education and successful learning for refugees through digital solutions.","NC
SP"
The Quantum World,"Welcome to The Quantum World!
This course is an introduction to quantum chemistry: the application of quantum theory to atoms, molecules, and materials. You’ll learn about wavefunctions, probability, special notations, and approximations that make quantum mechanics easier to apply. You’ll also learn how to use Python to program quantum-mechanical models of atoms and molecules.
HarvardX has partnered with DataCamp to create assignments in Python that allow students to program directly in a browser-based interface. You will not need to download any special software, but an up-to-date browser is recommended.
This course has serious prerequisites. You will need to be comfortable with college-level chemistry and calculus. Some prior programming experience is also encouraged.
The Quantum World is ideal for:
Chemistry majors who want extra material alongside an on-campus course
Chemistry majors at an institution that does not offer quantum chemistry
Physics or CompSci majors who want to branch out to chemistry
Graduate students refreshing on quantum mechanics before their qualifying exams
Professional chemists who want to brush up on their skills","AL
IAS
PL
SDF
SP"
Mathematical Modeling Basics,"How do populations grow? How do viruses spread? What is the trajectory of a glider?
Many real-life problems can be described and solved by mathematical models. In this course, you will form a team with another student and work in a project to solve a real-life problem.
You will learn to analyze your chosen problem, formulate it as a mathematical model (containing ordinary differential equations), solve the equations in the model, and validate your results. You will learn how to implement Euler’s method in a Python program.
If needed, you can refine or improve your model, based on your first results. Finally, you will learn how to report your findings in a scientific way.
This course is mainly aimed at Bachelor students from Mathematics, Engineering and Science disciplines. However it will suit anyone who would like to learn how mathematical modeling can solve real-world problems.",SDF
Programmation Concurrente (avec Java),"Savez-vous que les machines les plus puissantes au monde sont massivement parallèles ? Saviez-vous que les objets les plus courants de notre vie quotidienne, comme les voitures ou les smartphones, sont de véritables ordinateurs parallèles ?
En effet, les voitures les plus simples embarquent une trentaine de capteurs et processeurs sur lesquels s'exécutent différents programmes qui coopèrent. Les véhicules les plus sophistiqués dépassent d'ailleurs la centaine de capteurs et processeurs... et ne parlons pas des véhicules autonomes qui se profilent dans un avenir proche. D'ailleurs, vous savez tous qu'internet peut également être vu comme un système massivement parallèle ?
Bref, les systèmes parallèles ont déjà envahi notre vie quotidienne et sont présents dans tous les secteurs. La principale conséquence est que l'informaticien d'aujourd'hui se doit de maîtriser ce type de programmation, qui est loin d'être trivial. En effet, tôt ou tard, il ne pourra qu'être confronté à ce type de problèmes.
L'objectif du MOOC « Programmation Concurrente » est de vous donner un aperçu de ce domaine. Nous y présenterons les problèmes posés par la concurrence, les solutions algorithmiques proposés (moniteurs, sémaphores, etc.) et illustrerons nos propos à l'aide du langage Java, qui, dans sa version 8 (en fait depuis la version 7), intègre de nombreux mécanismes permettant au programmeur désireux de comprendre la programmation concurrence, de s'y focaliser sans avoir à manipuler des mécanismes de bas niveau, comme ceux que l'on trouve dans de nombreux langages (par exemple, C avec les bibliothèques Posix).
Ce cours est principalement destiné à des personnes maîtrisant déjà au moins un langage de programmation, objet si possible. Il est dérivé d'une unité d'enseignement de troisième année dispensée à l'Université Pierre et Marie Curie, le premier établissement universitaire à avoir proposé en France, en 1967, un diplôme d'informatique.
Afin que vous puissiez mieux suivre ce MOOC, il est nécessaire de connaître le langage Java. À ce titre, des ressources de préparation sont à votre disposition via le lien suivant : http://lip6.fr/Fabrice.Kordon/moocprc2017.php",PD
LAFF – On Programming for Correctness,"Is my program correct? Will it give the right output for all possible permitted inputs? Computers are now essential in everyday life. Incorrect programs lead to frustration in the best case and disaster in the worst. Thus, knowing how to construct correct programs is a skill that all who program computers must strive to master. 
In this computer science course, we will presents ""goal oriented programming"" the way Edsger Dijkstra, one of the most influential computer scientists, intended. You will learn how to derive programs hand-in-hand with their proofs of correctness. The course presents a methodology that illustrates goal-oriented programming, starting with the formalization of what is to be computed, and then growing the program hand-in-hand with its proof of correctness. The methodology demonstrates that, for a broad class of matrix operations, the development, implementation, and establishment of correctness of a program can be made systematic.
Since this technique focuses on program specifications, it often leads to clearer, correct programs in less time. The approach rapidly yields a family of algorithms from which you can then pick the algorithm that has desirable properties, such as attaining better performance on a given architecture. 
The audience of this MOOC extends beyond students and scholars interested in the domains of linear algebra algorithms and scientific computing. This course shows how to make the formal derivation of algorithms practical and will leave you pondering how our results might extend to other domains.
As a result of support from MathWorks, learners will be granted access to MATLAB for the duration of the course.",SP
Introduction to Data Structures,"Well organised data structures allow for quick and efficient retrieval of information and are essential for modern computing. Organised data can be easily sorted, ordered, and searched to retrieve information that meets certain requirements.
In Introduction to Data Structures, you’ll learn the fundamentals of creating data structures, and gain exposure to coding and visualising data structures. You’ll explore the importance and impact of well organised data.
You’ll learn how to build a program from small pieces and understand why organisational approaches make such a difference to some very common approaches to solutions.
The course identifies the most important and useful data structures in use in modern programming and each will be presented with exercises for building, visualising, and manipulating that structure. Each exercise embeds a simple and intuitive application for the particular organisation of data that we present. Through the course you will be given a concrete understanding of data structures by writing your own programs to interact with the data structures.
You’ll get the most from this course if you have some understanding of simple programming, and the Foundation week of the course will allow you to test the level of knowledge you require. Learners that have completed the Think. Create. Code. course will have sufficient coding skills to take this course.","SDF
PL
DS"
Programmation iOS (partie I),"Smartphones, tablettes, ces appareils ultra-portables sont désormais omniprésents dans notre vie quotidienne. Il y a des applications pour presque tout : retoucher ses photos, réserver une place de cinéma, réviser le code de la route, choisir une recette de cuisine, tourner et monter des clips vidéos, ou trouver les restaurants les plus proches.
Derrière ces applications il y a un savoir-faire spécifique à la programmation sur plateformes mobiles. En effet, contrairement aux ordinateurs classiques, les contraintes imposées par les caractéristiques ces terminaux font que certains « gestes simples » pour l'utilisateur, comme faire dérouler une liste de données, impliquent en réalité des mécanismes plus complexes.
Ce MOOC est le premier d'une série de deux MOOCs consacrés à la programmation sur iPhone et iPad. Il se concentre sur le développement d'applications « mono-vues » et présente en détail les principes d'une interaction réussie de vos applications avec ses utilisateurs. Nous avons également décidé de prendre en compte les dernières nouveautés introduites dans iOS. Ainsi, ce MOOC, s'il évoque Objective-C, le langage « historique » de développement sur cette plateforme qu'il faut connaître, passera beaucoup de temps sur le nouveau langage Swift (dans sa version 3, annoncée en Septembre 2016 avec iOS10). Un parallèle avec la problématique du développement de systèmes embarqués est également fait.
L'objectif, si vous suivez attentivement ce cours et réalisez les exercices proposés, est de vous rendre autonomes dans la réalisation d'applications pour l'écosystème iOS (le dernier exercice est d'ailleurs un jeu d'adresse). Vous serez aussi capables de travailler non seulement dans l'environnement de développement d'Apple mais aussi dans des environnements similaires. Les exercices sont réalisés sous iOS10, publié en septembre 2016. Nous recommandons donc l'usage de Xcode 8 ou ultérieur (accès gratuit sur le site d'Apple).
Ce cours est principalement destiné à des personnes maîtrisant déjà la programmation objet. Il est dérivé d'une unité d'enseignement de 5eme année (master 2) dispensée à l'Université Pierre et Marie Curie, le premier établissement universitaire à avoir proposé en France, en 1967, un diplôme d'informatique. Il tient également compte des nombreux retours des MOOCs qui se sont déroulés en 2014 et en 2015.
Si ce sujet vous intéresse, n'hésitez pas à vous inscrire et à venir nous suivre. J'ai reçu plusieurs témoignages d'anciens participants en 2014 et 2015 qui se sont réorientés vers la programmation mobile après avoir participé à l'une des éditions précédentes.",AR
Mobile Application Experiences,"How do you design a mobile app that truly changes people's lives? How can you understand how a new service is being used, both quantitatively and qualitatively? How can you use all of the rich sensing and I/O capabilities of mobile devices to create experiences that go far beyond what's possible on a traditional computer?
Mobile devices are changing the ways that we interact with each other and information in the world. This course will take you from a domain of interest, through generative research, design, usability, implementation and field evaluation of a novel mobile experience. You'll finish the course with a working, field-tested application suitable for release in the app store as well as a deep understanding of human interaction with mobile devices and services.
Based on a popular MIT class that has been taught since 2006 by Frank Bentley of Yahoo Labs and Ed Barrett, a Senior Lecturer at MIT, this course will explore what makes mobile devices unique. A primary focus will be on studying existing behavior and using key findings for design. While writing the code for an app is a part of the class, the majority of the topics will cover designing and evaluating a unique mobile experience. Along the way, you will have opportunities to share your work with other students from around the world! Java experience (or Objective C for iOS users) and a smartphone are required.
All required readings are available within the courseware, courtesy of The MIT Press. A print version of the course textbook, Building Mobile Experiences, is also available for purchase. The MIT Press is offering enrolled students a special 30% discount on books ordered directly through the publisher’s website. To take advantage of this offer, please use promotion code BME30 at The MIT Press site.",HCI
Computation Structures 3: Computer Organization,"Digital systems are at the heart of the information age in which we live, allowing us to store, communicate and manipulate information quickly and reliably. This computer science course is a bottom-up exploration of the abstractions, principles, and techniques used in the design of digital and computer systems. If you have a rudimentary knowledge of electricity and some exposure to programming, roll up your sleeves, join in and design a computer system!
This course is Part 3 of a 3-part series on digital systems, providing an introduction to the hardware/software interface and is based on a course offered by the MIT Department of Electrical Engineering and Computer Science. Topics include pipelined computers, virtual memories, implementation of a simple time-sharing operating system, interrupts and real-time, and techniques for parallel processing.
Using your browser for design entry and simulation, you’ll optimize your processor design from Computation Structures 2: Computer Architecture for size and speed, and make additions to a simple time-sharing operating system.
Learner Testimonial 
“Out of the many edX courses I have taken, the first two parts of Computation Structures 6.004x were clearly the best. I am looking forward to the third part.” - Previous Student","AR
DS
IAS
PD
SE
SDF
SP"
Computer System Design: Advanced Concepts of Modern Microprocessors,"In this computer science course, you will learn advanced concepts underpinning the design of today’s multicore-based computers. Additionally, you will learn how design decisions affect energy efficiency and performance.
Overall, topics include fundamentals on exploiting parallelism among instructions such as out-of-order execution, branch prediction, exception handling and advanced concepts of memory systems including prefetching and cache coherency. These concepts are fundamental for future computer systems to maximize compute efficiency.
You will also engage with a community of learners with similar interests to share knowledge.
The course is derived from Chalmers’s advanced graduate course in computer architecture. Prospective students should have a foundation in basic computer design, as offered by, for example, in “Computer System Design - Improving Energy Efficiency and Performance.“",AR
Advanced Software Construction in Java,"This computer science course is the second of a two-course sequence on how to write good software using modern software engineering techniques.
This course will dig deeper into what makes for ""good"" code -- safe from bugs, easy to understand, and ready for change. We will explore two paradigms for modern programming: (1) grammars, parsing, and recursive datatypes; and (2) concurrent programming with threads.
This is a challenging and rigorous course that will help you take the next step on your way to becoming a skilled software engineer.
Photo by raincrystal on Flickr. (CC-BY-SA) 2.0",SE
Data Science Readiness Assessment,"Are you interested in pursuing a degree in Data Science, but unsure whether you have the necessary Math and Programming skills? This assessment will help you identify your current readiness in three core areas required for the study of Data Science; Calculus, Linear Algebra, and Programming.
You can take this assessment at your own pace and receive a private score report that identifies your readiness in each specific area. We will also provide, when necessary, recommendations for additional free online study.
This assessment is free, unproctored, and not offered for credit; it is designed for enrichment and self-assessment for anyone interested in pursuing data science as a career.​",IS
Digital Networks Essentials,"Every business today depends on connectivity, and now there is increasing demand for engineers who can design, develop and manage data networks – and keep them secure as well.
This applied computer science MOOC will give you the hands-on know-how to master the network technologies used every day to communicate and access information via the web and phones.
You’ll learn the vocabulary, concepts and mechanisms common to all digital networks, and explore the TCP, UDP and IP protocols that support all online communications.
You’ll also see how a global network is organized and how its components work together, and understand the importance of standards and protocols. This course is designed for students or professionals with a background in science or computing.
Practical coursework is carried out in a Unix virtual environment that can be installed on any modern computer.
Sign up now and sharpen up your network knowledge!","NC
IS"
Computation Structures 2: Computer Architecture,"Digital systems are at the heart of the information age in which we live, allowing us to store, communicate and manipulate information quickly and reliably. This computer science course is a bottom-up exploration of the abstractions, principles, and techniques used in the design of digital and computer systems. If you have a rudimentary knowledge of electricity and some exposure to programming, roll up your sleeves, join in and design a computer system!
Using your browser for design entry and simulation, you’ll implement a 32-bit computer using our gate library and write assembly language programs to explore the hardware/software interface.
This is Part 2 of a 3-part program on digital systems.",DS
Computer Systems Design for Energy Efficiency,"In order to be competitive in the computer science field, it’s imperative to understand the basic building blocks of a modern computer and how they directly impact the speed and efficiency of a program. Whether you work with embedded systems, mobile computer-based systems, or cloud systems, performance and energy efficiency are key drivers of usability and competitiveness of computerized products.
In this course, you will learn how to design modern multicore-based computers, and how the design choices you make affect performance and energy consumption. You will explore design principles governing modern microprocessors, such as pipelining and cache memories, as well as methods for determining the impact of your design on execution time and energy efficiency.
These skills can make a difference for practicing engineers for the purpose of building highly competitive products. Take, for instance, a smartphone with limited battery capacity. By adding value to end users through new or improved functionality, this can lead to significantly shorter operation time between battery charges, thus utilizing the already limited resources of a smartphone far more efficiently.
With this skillset, you can become an expert in computer system performance and energy efficiency - knowledge that is in high demand when designing computerized embedded products. With trends towards IoT (Internet of Things), autonomous systems and mobile computers, such a skillset will be critical in a career in systems engineering.
This course is derived from a Chalmers senior undergraduate course in computer system design. It assumes basic knowledge in computer organization.",AR
Data Analytics in Health – From Basics to Business,"Many people talk about the promise of “big data” to health care. But how can the application of data analytics to big data actually improve health and health care? We will show that novel data analytics based solutions can result in better diagnosis, better care and better curing. This provides fertile ground for entrepreneurship and the development of new businesses.
In our course we’ll start from the very basics of data analytics, look at different real world approaches and help you to see entrepreneurial opportunities and develop a business plan.
We will cover three important fields:
Health care expertise: We will present medical approaches to data and give an overview of challenges where big data based solutions have been developed to improve the efficiency and effectiveness in medicine.
Data analytics: We’ll explain the basics of data mining within the context of a wide variety of health care settings, and the types of data and data analysis challenges that you will likely encounter in each. We’ll start with gathering the data, move on to classifying, analyzing and finally visualizing it.
Entrepreneurship: You will learn how to assess when data sciences based improvements in health care represent entrepreneurial opportunities. The development of a rigorous business plan is used to help you make that assessment.
Participants with prior experience in the medical field will learn how novel data science applications can improve healthcare, create societal value and how to spot entrepreneurial opportunities.
Participants with experience in data science or mathematics will learn about medical approaches to data and why healthcare is an exciting area to apply and develop data analytics.
Participants interested in launching their startup will learn how big data solutions in health care can provide a solid basis to build great ventures.
Whatever your motivation to enrol in this course, we care about your project and your success - that’s why we will guide you through all parts of this learning journey step by step!
Enter now to see how you can engage in data driven innovation and make an impact on improving care, outcomes and the quality of life.",SP
Software Construction in Java,"This computer science course is the first of a two-course sequence about writing good software using modern software engineering techniques.
In this course, you will learn what software engineers mean by ""good"" code -- safe from bugs, easy to understand, and ready for change. You will also learn ways to make your code better, including testing, specifications, code review, exceptions, immutability, abstract data types, and interfaces.
This is a challenging and rigorous course that will help you take the next step on your way to becoming a skilled software engineer.
Photo by Wizou on Flickr. (CC BY) 2.0",SE
Data Structures and Algorithms Part 1,"Computers are an important tool forproblemsolving and are deeply involvedin modern life.Computers perform operations on data. What is the logical relationship among data? How is data stored in computers? What algorithms are required to solve particular problems? These are the questions that will be answered in “Data Structures and Algorithms,” an important core course in Computer Science. The course also introduces students to fundamental data structures and classical algorithms used in more specialized courses,including Operating Systems, Software Engineering, Database Systems, CompilerPrinciples, Computer Graphics and Human Computer Interaction.
Niklaus Wirth described the important and indivisible link between algorithms and data structure in his book, Algorithms + Data Structures = Programs.
The course will build on Wirth’s ideas as it helps students improve their knowledge of theory and their ability to think abstractly to solve problems.Building on a solid theoretical foundation, studentswill analyze problems using data and algorithm abstraction. Students will learn how to organize data efficiently and make tradeoffs between space and time complexity, design efficient and effective algorithms, and implement high quality programs to solve complex real-world problems.After studying this course, students will be well prepared for further study and research in engineering and other computer-related areas.
This is an intermediate-level course appropriate for sophomore students majoring in computer science or other science/engineering disciplines. Students shouldhave learned ""introduction to computing"",with the knowledge of structured and object-oriented programming.
This course is presented in two eight-week sessions.
Students who score 60% or higher will receive an Honor Code Certificate.
The Autumn 2014 Sessions of this course are supported by Google.
 Which programming languages does the course use?
The course’s content and exercises are both based upon C++ pseudo code. Programming assignments are automatically assessed by POJ which accepts code written in C/C++ and JAVA.","SDF
AL
PL
AR
SE"
Mobile Application Experiences Part 2: Mobile App Design,"Want to create the next big app, grounded in the needs of real users? This course will teach you Human Computer Interaction (HCI) methods to better understand current behavior in a domain, and then design, develop, and deploy your own application.
This module will take you from an application idea through the creation of a paper prototype and a usability evaluation to validate initial usability of your concept. 
Completion of Mobile Application Experiences Part 1 is not required. You can begin this module with an idea you have had on your own.
This course is part of a five-part Mobile Application Experiences series:
21W.789.1x: Mobile Application Experiences Part 1: From a Domain to an App Idea
21W.789.2x: Mobile Application Experiences Part 2: Mobile App Design
21W.789.3x: Mobile Application Experiences Part 3: Building Mobile Apps
21W.789.4x: Mobile Application Experiences Part 4: Understanding Use
21W.789.5x: Mobile Application Experiences Part 5: Reporting Research Findings",HCI
Underactuated Robotics,"Robots today move far too conservatively, using control systems that attempt to maintain full control authority at all times. Humans and animals move much more aggressively by routinely executing motions which involve a loss of instantaneous control authority. Controlling nonlinear systems without complete control authority requires methods that can reason about and exploit the natural dynamics of our machines.  
This course introduces nonlinear dynamics and control of underactuated mechanical systems, with an emphasis on computational methods. Topics include the nonlinear dynamics of robotic manipulators, applied optimal and robust control and motion planning. Discussions include examples from biology and applications to legged locomotion, compliant manipulation, underwater robots, and flying machines.
FAQ
Who can register for this course?
Unfortunately, learners from Iran, Sudan, Cuba and the Crimea region of Ukraine will not be able to register for this course at the present time. 
While edX has received a license from the U.S. Office of Foreign Assets Control (OFAC) to offer courses to learners from Iran and Sudan our license does not cover this course. 
Separately, EdX has applied for a license to offer courses to learners in the Crimea region of Ukraine, but we are awaiting a determination from OFAC on that application. 
We are deeply sorry the U.S. government has determined that we have to block these learners, and we are working diligently to rectify this situation as soon as possible.","AR
IAS
PL
SDF"
Preparing for the AP* Computer Science A Exam — Part 1,"CSAP.1x covers the material of AP Computer Science A which is equivalent to a first-semester, college-level course in computer science. This highly interactive course will introduce students to the fundamental concepts of computer science. The course will be structured to encourage students to think computationally and enjoy problem solving. New York City’s companies, museums, art and architecture will be used as examples to emphasize the ubiquitous role of computing and programming concepts in the world around us.
The course will delve into object- oriented problem solving and design using the Java programming language. Students will have access to practice problems that will help them learn to program without spending hours on finding and fixing syntax errors. These will include online multiple-choice questions in the style of those on the AP exam, mixed-up code that the user drags into the correct order, fill in the blank code and audio tours of the code.
Topics include problem solving, programming design strategies and data structures, algorithms, role of computation in real-world applications like smart phones, google glass and robots. This material may be used for self-study and as a preview by students and teachers considering the September 2015 offering of the course.
Learn more about our High School and AP* Exam Preparation Courses
*Advanced Placement and AP are registered trademarks of the College Board, which was not involved in the production of, and does not endorse, these offerings.","AL
AR
DS
HCI
IAS
PD
PL
SDF
SP"
Preparing for the AP* Computer Science A Exam — Part 2,"CSAP.1x covers the material of AP Computer Science A which is equivalent to a first-semester, college-level course in computer science. This highly interactive course will introduce students to the fundamental concepts of computer science. The course will be structured to encourage students to think computationally and enjoy problem solving. New York City’s companies, museums, art and architecture will be used as examples to emphasize the ubiquitous role of computing and programming concepts in the world around us.
The course will delve into object- oriented problem solving and design using the Java programming language. Students will have access to practice problems that will help them learn to program without spending hours on finding and fixing syntax errors. These will include online multiple-choice questions in the style of those on the AP exam, mixed-up code that the user drags into the correct order, fill in the blank code and audio tours of the code.
Topics include problem solving, programming design strategies and data structures, algorithms, role of computation in real-world applications like smart phones, google glass and robots. This material may be used for self-study and as a preview by students and teachers considering the September 2015 offering of the course. Video lectures for this course will be available in May 2015. Ancillary material including labs will be added over the Summer of 2015. All of the course will be available September 1, 2015
This is a self-paced course - you may take CSAP.1x on your schedule.
Learn more about our High School and AP* Exam Preparation Courses
Advanced Placement and AP are registered trademarks of the College Board, which was not involved in the production of, and does not endorse, these offerings.",AR
Principles and Practice of Computer Aided Translation,"This course is presented in Mandarin.
If you are having difficulty viewing this video in mainland China, you can also find it here.
This course is suitable for postgraduate students who major in Translation and Interpreting, undergraduate students majoring in foreign language, translators and language enthusiasts.
Those who work in modern language service industry are required to be capable of using computers and Internet to aid their translation job by adapting a variety of efficient tools, rather than just using word processor tools and several basic computer-aided translation software.
This course teaches the basic concepts of computer-aided translation technology, helps students learn to use a variety of computer-assisted translation tools, enhances their ability to engage in various kinds of language service in such a technical environment, and helps them understand what the modern language service industry looks like.
This course covers introduction to modern language services industry, basic principles and concepts of translation technology, information technology used in the process of language translation, how to use electronic dictionaries, Internet resources and corpus tools, practice of different computer-aided translation tools, translation quality assessment, basic concepts of machine translation, globalization, localization and so on. As a compulsory course for students majoring in Translation and Interpreting, this course is also suitable for students with or without language major background. By learning this course, students can better understand modern language service industry and their work efficiency will be improved for them to better deliver translation service.
The course is one of the PKU-DeTao MOOCs, which is a joint effort by Peking University and DeTao Masters Academy.
Are there any reference books for this course?
Students are recommended to read at least the following books.
Lynne Bowker, Computer Aided Translation, University of Ottawa Press, Ottawa,2002
Frank Austermühl, Electronics Tools for Translators, St. Jerome Publishing, Manchester,2001
Will this course provide an English course video?
Will this course provide an English course video?",CN
Networks and Crowds,"Networks, Crowds, and Markets: Reasoning about a Highly Connected World (Free Online)
""networks, groups and Markets: Principles and effector mechanisms reveal the behavior of highly interconnected world"" (translation), Tsinghua University Press, 2011.","NC
GV"
Data Structures and Algorithms Part 2,"Computers are an important tool forproblemsolving and are deeply involvedin modern life.Computers perform operations on data. What is the logical relationship among data? How is data stored in computers? What algorithms are required to solve particular problems? These are the questions that will be answered in “Data Structures and Algorithms,” an important core course in Computer Science. The course also introduces students to fundamental data structures and classical algorithms used in more specialized courses,including Operating Systems, Software Engineering, Database Systems, CompilerPrinciples, Computer Graphics and Human Computer Interaction.
Niklaus Wirth described the important and indivisible link between algorithms and data structure in his book,Algorithms + Data Structures = Programs.
The course will build on Wirth’s ideas as it helps students improve their knowledge of theory and their ability to think abstractly to solve problems.Building on a solid theoretical foundation, studentswill analyze problems using data and algorithm abstraction. Students will learn how to organize data efficiently and make tradeoffs between space and time complexity, design efficient and effective algorithms, and implement high quality programs to solve complex real-world problems.After studying this course, students will be well prepared for further study and research in engineering and other computer-related areas.
This is an intermediate-level course appropriate for sophomore students majoring in computer science or other science/engineering disciplines. Students shouldhave learned ""introduction to computing"",with the knowledge of structured and object-oriented programming.
This course is presented in two eight-week sessions. In session 1, we learnt Linear Lists, Stacks, Queues, Strings, Binary Trees, Trees and Graphs, which are fundamental data structures. In the second session, we will study advanced data structures and algorithms, such as Sorting, Searching, Indexing, as well as their applications thoroughly. More detailed, these chapters include a variety of classic Sorting algorithms (Quicksort, External Sorting), Searching methods (Sets, Hash Tables, Bitmaps), Indexing structures (B/B+ trees, Trie trees), Advanced List-Structure (generalized lists, Multi-dimensional arrays) and Balanced Binary Trees (AVL, Red-Black trees, Splay trees). The second part of the course lasts eight weeks. Each week, student will spend 4-8 hours to follow this course.
Students who score 60% or higher will receive an Honor Code Certificate.
The Autumn 2014 Sessions of this course are supported by Google.
Which programming languages does the course use?
The course’s content and exercises are both based upon C++ pseudo code. Programming assignments are automatically assessed by POJ which accepts code written in C/C++ and JAVA.",SDF
Data Structures and Algorithms Part 1,"Computers are an important tool forproblemsolving and are deeply involvedin modern life.Computers perform operations on data. What is the logical relationship among data? How is data stored in computers? What algorithms are required to solve particular problems? These are the questions that will be answered in “Data Structures and Algorithms,” an important core course in Computer Science. The course also introduces students to fundamental data structures and classical algorithms used in more specialized courses,including Operating Systems, Software Engineering, Database Systems, CompilerPrinciples, Computer Graphics and Human Computer Interaction.
Niklaus Wirth described the important and indivisible link between algorithms and data structure in his book, Algorithms + Data Structures = Programs.
The course will build on Wirth’s ideas as it helps students improve their knowledge of theory and their ability to think abstractly to solve problems.Building on a solid theoretical foundation, studentswill analyze problems using data and algorithm abstraction. Students will learn how to organize data efficiently and make tradeoffs between space and time complexity, design efficient and effective algorithms, and implement high quality programs to solve complex real-world problems.After studying this course, students will be well prepared for further study and research in engineering and other computer-related areas.
This is an intermediate-level course appropriate for sophomore students majoring in computer science or other science/engineering disciplines. Students shouldhave learned ""introduction to computing"",with the knowledge of structured and object-oriented programming.
This course is presented in two eight-week sessions.
Students who score 60% or higher will receive an Honor Code Certificate.
The Autumn 2014 Sessions of this course are supported by Google.
Which programming languages does the course use?
The course’s content and exercises are both based upon C++ pseudo code. Programming assignments are automatically assessed by POJ which accepts code written in C/C++ and JAVA.","SDF
AL
AR
DS
OS
PL
SE"
Introduction to Theoretical Computer Science,Click the green button above to register.,SP
Java Programming,"The teaching content of this course includes three parts: formal language and automata theory, computability theory and computational complexity theory. Each of these answers the following questions :(1) what computing devices are available? What are their capabilities? (2) What is calculation? Which problems are (not) computable? (3) What is efficient calculation? What problems are (not) computable? Through this course, students will understand the basic knowledge of computing theory and grasp the concepts of efficient computing.",SP
C++ Programming | C++程序设计,"The course will be taught in video clips (8-20 minutes each, containing 1-2 test questions), written assignments in addition to the video clips, and (mandatory) final exams.",IAS
Autonomous Navigation for Flying Robots,"The total length of the course is 8 weeks, and the teaching video length is approximately 120 minutes per week. The preparatory knowledge required is the basic concepts of discrete mathematics (set theory, mathematical logic, graph theory, etc.).","AL
AR
CN
IAS
IS
NC
SDF
SP"
Preparing for the AP* Computer Science A Exam — Part 1,"A: An internet-connected computer, paper and pen, and, most importantly, curiosity.",IS
"Networks, Crowds and Markets",A: This course will teach you things that computers cannot do.,"IS
GV
IAS
HCI"
"Computing: Art, Magic, Science - Part II","A: The basic knowledge of discrete mathematics, including sets, relations, functions, logic, graphs, etc.","DS
AL"
"Computing: Art, Magic, Science","Information Technology (IT) is everywhere. Every aspect of human activity depends on it. All IT processes, whether they drive mobile phones, the Internet, transportation systems, enterprise systems, publishing, social networks or any other application, rely on software.
In this new and improved version of the course, you will learn to write software with a progressive hint system for first time programmers. The core skill is programming; not just the ability to piece together a few “lines of code,” but writing _quality _programs, which will do their job right, and meet the evolving needs of their users. Anyone can write a program; this course teaches you to write _good _programs.
The course starts from the basics of computing and takes you through a tour of modern object-oriented programming, including classes, objects, control structures, inheritance, polymorphism, and genericity.
Throughout the course, you will have the opportunity to learn the principles of programming as well as the techniques for designing correct and reliable programs by using the Eiffel programming language and notation. You will be trying out example problems to provide your solution, and see it immediately compiled and tested from within your browser. To this end, we are using the Codeboard;web-based IDE, developed at the Chair of Software Engineering (ETH Zurich). 
Beyond programming, you will also get a glimpse at theoretical computer science, the set of mathematical techniques that underlie computation and makes today’s IT-based world possible.
In this third edition of the course we specifically focus on helping students with little or no programming experience. To this end, we have improved the introductory material about the Eiffel language, and we have implemented a progressive hint system students can use to get guidance on how to solve the programming exercises.
""Really good course. Followed it with a couple of experienced colleagues all of them having a computer science background. They really liked the concepts and programming in Eiffel a lot. Many thanks to the team making this course available! Can not wait to start with the advanced course!"" --Previous CAMSx Participant
Previous edition course evaluation:
Overall course rating (1: worst grade, 6: best grade):
Grade Resp. %Resp
1 1 2%
2 0 2%
3 3 6%
4 9 18%
5 20 40%
6 17 34%
Total respondents: 50
Average: 4.96","PL
SP
SE"
