course_id,course_text,label,KA_label,,,
15-312,"This is a course on the theory of programming languages. Why study these principles? Because they are fundamental to the design, implementation, and application of programming languages.
Programming language design is often regarded as largely, or even entirely, a matter of opinion, with few, if any, organizing principles, and no generally accepted facts. Dozens of languages are in everyday use in research laboratories and in industry, each with its adherents and detractors. The relative merits of languages are debated endlessly, but always, it seems, with an inconclusive outcome. Some would even suggest that all languages are equivalent, the only difference being a matter of personal taste. Yet it is obvious that programming languages do matter!
Yet can we really say that Java is “better” (or “worse”) than C++? Is Scheme “better” than Lisp? Is ML “better”   than either of them? Can we hope to give substance to any of these questions? Or should we simply reserve them for late night bull sessions over a glass of beer? While there is certainly an irreducible subjective element in programming language design, there is also a rigorous scientific theory of programming languages that provides a framework for posing, and sometimes answering, such questions. To be sure there are good questions for which current theory offers no solutions, but surprisingly many issues are amenable to a rigorous analysis, providing definite answers to many questions. Programming language theory liberates us from the tar pit of personal opinion, and elevates us to the level of respectable scientific discourse.
Programming language theory is fundamental to the implementation of programming languages, as well as their design. While compiler writers have long drawn on the theory of grammars for parsing and on graph theory for register allocation, the methods used to compile well-known languages such as C do not rely on deep results from programming language theory. For relatively simple languages, relatively simple compilation methods suffice. But as languages become more sophisticated, so must more sophisticated methods be employed to compile them.
For example, some programs can be made substantially more efficient if code generation is deferred until some run- time data is available. A tight inner loop might be ``unrolled'' into a linear instruction sequence once the iteration bound is determined. This is one example of partial evaluation, a technique for program specialization that rests on 
results from programming language theory. To take another example, modern languages such as ML (and proposed extensions of Java) include what are known as parameterized types to support flexible code re-use. Parameterized types complicate compilers considerably because they must account for situations in which the type of a variable or function argument is not known at compile time. The most effective methods for handling parameterized types rely on typed intermediate languages with quite sophisticated type systems. Here again programming language theory provides the foundation for building such compilers.
Programming language theory has many applications to programming practice. For example, “little languages” arise frequently in software systems -- command languages, scripting languages, configuration files, mark-up languages, and so on. All too often the basic principles of programming languages are neglected in their design, with all too familiar results. After all, the argument goes, these are “just” scripting languages, or “just” mark-up languages, why bother too much about them? One reason is that what starts out as “just” an ad hoc little language often grows into much more than that, to the point that it is, or ought to be, a fully-fledged language in its own right. Programming language theory can serve as a guide to the design and implementation of special purpose, as well as general  purpose, languages.
Another application of the theory of programming languages is to provide a rigorous foundation for software engineering. Formal methods for software engineering are grounded in the theory of specification and verification. A specification is a logical formula describing the intended behavior of a program. There are all kinds of specifications, ranging from simple typing conditions (“the result is a floating point number between 0 and 1”) to complex invariants governing shared variables in a concurrent program. Verification is the process of checking that the implementation indeed satisfies the specification. Much work has gone into the development of tools for specifying and verifying programs. Programming language theory makes precise the connection between the code and its specification, and provides the basis for constructing tools for program analysis.
The theory of programming languages provides a “reality check” on programming methodology, that part of  software engineering concerned with the codification of successful approaches to software development. For example, the merits of object-oriented programming for software development are well known and widely touted. Object-oriented methodology relies heavily on the notions of subtyping and inheritance. In many accounts these two notions are confused, or even conflated into one concept, apparently because both are concerned with the idea of one class being an enrichment of another. But careful analysis reveals that the two concepts are, and must be, distinct: confusing them leads to programs that violate abstraction boundaries or even incur run-time faults.
The purpose of this course is to introduce the basic principles, methods, and results of programming languages to undergraduate students who have completed the introductory sequence in computer science at Carnegie Mellon. I intend for students to develop an appreciation for the benefits (and limitations) of the rigorous analysis of programming concepts.
The development is based on type theory, a general theory of computation that encompasses all aspects of programming languages, from the data with which we compute to the means by which we structure programs. Programming language “features” are viewed as manifestations of type structure. Basic data structures such as tuples arise as product types, trees and graphs arise as recursive types, and procedures arise as monadic function types. Each language concept is defined by giving its statics, which specify how it interacts with other parts of a program, and its dynamics, which specifies how it is executed on a computer. Type safety is the coherence of the statics with the dynamics; safety is proved as a mathematical theorem governing each language feature.  The specific topics vary from one semester to the next, but the course typically covers finite and infinite data structures, higher-order functions, continuations, mutable storage, data abstraction and polymorphism, so-called dynamic typing, parallel computation, laziness, and concurrency, all presented in a single unifying framework.","AL--Basic Analysis
DS--Sets, Relations,Functions
DS--Logic
DS--Proof techniques
OS--Concurrency
OS--Scheduling
PD--Parallelism Fundamentals
PD--Parallel Decomposition
PD--Parallel Algorithms, Analysis, and Programming
PL--Object-oriented Programming
PL--Functional Programming
PL--Event-Driven and Reactive Programming
PL--Basic type systems
PL--Program Representation
PL--Language Translation and Execution
PL--Compiler Semantic Analysis
PL--Advanced Programming Constructs
PL--Type Systems
PL--Formal Semantics
","AL
DS
OS
PD
PL",,,
15-150,"to write parallel functional programs
to analyze programs’ sequential and parallel time complexity
to write mathematical specifications and verify that programs meet them 
to structure programs using modules and abstract types
In the first three weeks of the course, students learn to write basic sequential functional programs on numbers and lists, to analyze their time complexity, and to prove mathematical correctness specifications using induction.  Parallelism is introduced in the fourth week:  Students learn to write data-parallel functional programs. They learn to analyze not just the usual sequential complexity of programs, but their parallel complexity, and how this influences algorithm and data structure design. An early example is sorting: One might think that mergesort would have logarithmic parallel complexity, because as a sorting problem is repeatedly divided in half, the length of the longest dependency is logarithmic. However, with lists as the data structure, mergesort has a linear parallel complexity, because just the operation of splitting a list into two halves takes linear time, independently of how many processors are available.  This motivates studying mergesort on trees, which has a sublinear parallel complexity. Because the parallelism is deterministic, students can reason about the behavior of their programs as if they were sequential, but run them in parallel.  These  programming, analysis, and verification skills continue to be interwoven throughout the remainder of the course, as students learn more advanced techniques.
Overall, students learn the following aspects of programming, analyzing, and proving:
The organization of programming languages by types
Computing by calculation: how programs are evaluated
Recursive functions and proofs by induction
Asymptotic analysis and recurrence relations
Tree parallelism
Datatypes, pattern-matching, and structural recursion/induction
Parametric polymorphism
Higher-order functions
Continuation-passing style
Exceptions
Cost semantics
Vector parallelism and map-reduce
Modules and abstract types
Imperative programming
Interaction of parallelism and effects
Laziness and streams
The course is taught in Standard ML. A variety of examples are used to teach these skills, including sequential and parallel sorting, map-reduce algorithms, regular expression matching, n-body simulation, and game-tree search. The assignments integrate parallel programming, analysis, and verification.  For example, in one key assignment,  students write and prove correct a regular expression matcher, combining an advanced programming technique  called continuation-passing-style with sophisticated inductive reasoning.  In another, students implement an algorithm for n-body simulation that has good sequential and parallel complexity, using a mix of tree- and vector- parallelism.","AL--Basic Analysis
AL--Algorithmic Strategies
AL--Fundamental Data Structures and Algorithms
AL--Advanced Data Structures Algorithms and Analysis
DS--Basic logic
DS--Proof techniques
PD--Parallelism Fundamentals
PD--Parallel Decomposition
PD--Parallel Algorithms, Analysis, and Programming
PL--Functional Programming
PL--Basic Type Systems
PL--Advanced Programming Constructs
PL--Concurrency and Parallelism
PL--Type systems
SDF--Algorithms and Design
SDF--Fundamental Programming Concepts
SDF--Fundamental Data Structures
SDF--Development Methods
SE--Software Verification and Validation
","AL
DS
PD
PL
SDF
SE",,,
CIS 133J,"Object-oriented programming concepts 
Objects, classes
State, behavior
Methods, fields, constructors 
Variables,  parameters Scope, 
lifetime
Abstraction, modularization, encapsulation 
Method overloading
Data types
Conditional statements, logical expressions 
Loops
Collection processing 
Using library classes 
UML class diagrams 
Documentation 
Debugging
Use of an IDE","AL--Fundamental Data Structures and Algorithms
PL--Object-Oriented Programming
PL--Basic Type Systems
PL--Language Translation and Execution
SDF--Algorithms and Design
SDF--Fundamental Programming Concepts
SDF--Fundamental Data Structures
SDF--Development Methods
","AL
PL
SDF",,,
Introduction to Computer Science,"This course has five distinct modules of roughly three weeks each:
(1) We begin with conditionals and recursion, practicing a functional problem-solving approach to a variety of homework problems. Python is the language in which students solve all of their assignments in this module.
(2) In the second module students investigate the fundamental ideas of binary representation, combinational circuits, machine architecture, and assembly language; they complete assignments in each of these topics using Python, Logisim, and a custom-built assembly language named Hmmm. This unit culminates with the hand- implementation of a recursive function in assembly, pulling back the curtain on the “magic” that recursion can sometimes seem.
(3) Students return to Python in the third module, building imperative/iterative idioms and skills that build from the previous unit’s assembly language jumps. Creating the Mandelbrot set from scratch, Markov text-generation, and John Conway’s Game of Life are part of this module’s student work.
(4) The fourth module introduces object-oriented skills, again in Python, with students implementing a Date calculator, a Board class that can host a game of Connect Four, and a Player class that implements game-tree search.
(5) The fifth module introduces mathematical and theoretical facets of computer science, including finite-state machines, Turing machines, and uncomputable functions such as Kolmogorov complexity and the halting problem. Small assignments use JFLAP to complement this in-class content, even as students’ work centers on a medium-sized Python final project, such as a genetic algorithm, a game using 3d graphics with the VPython library, or a text-analysis web application.","AL--Algorithmic Strategies
AL--Basic Automata, Computability and Complexity
AR--Digital logic and digital systems
AR--Machine level representation of data
AR--Assembly level machine organization
PD--Parallelism Fundamentals
PL--Object-Oriented Programming
SDF--Algorithms and Design
SDF--Fundamental Programming Concepts
SDF--Fundamental Data Structures
","AL
AR
PD
PL
SDF",,,
CpSc 215,"Major topics covered, in their approximate order of coverage, include the following:
 Java Basics: Introduction, interpreted versus compiled languages
Java Basics: Packages, classpaths, the Java compiler
Java Basics: The Eclipse integrated development environment
Java Basics: Parameter passing, shallow versus deep copying, value versus reference semantics
Java Classes: Fields, methods, accessibility modifiers
Java Classes: Constructors, overloading
Java Classes: Static fields, methods, initializers 
Design Patterns: Introduction, historical context 
Design Patterns: Singleton, Flyweight
Java Libraries: java.io.*, java.util.*, java.net.*, java.math.* 
Java Interfaces: Declaring, implementing, using as types 
Abstract Data Structures: Stacks, queues, sets
Analytical Reasoning: Introduction to interface contracts
Analytical Reasoning: Review of basic mathematical types (integers, tuples, strings, sets) 
Analytical Reasoning: Formal contract specifications
Abstract Data Structures: Partial maps (dictionaries), linked-lists 
Analytical Reasoning: Contract-based Testing and Tracing 
Design Patterns: Decorator
Analytical Reasoning: Assertion-checking wrappers (using Decorator) 
Java Exceptions: Concepts, declaring, throwing, catching
Java Inheritance: Concepts, type system integration, polymorphism 
Design Patterns: Template Method, Strategy
Algorithms as Components: Parameterized sorting implementations 
Java Generics: Concepts, syntax, subclassing issues
Design Patterns: Observer
Analytical Reasoning: Introduction to verification 
Analytical Reasoning: Software verification with objects 
Java Libraries: javax.swing.*, basic Swing development","SDF--Algorithms and Design
SDF--Fundamental Data Structures
SDF--Development Methods
PL--Object-Oriented Programming
PL--Basic Type Systems
SE--Software Design
SE--Formal Methods
","SDF
PL
SE",,,
CS1101,"Upon completion of this course, the student should be able to:
Understand when to use and write programs over structures, lists, and trees 
Develop data models for programming problems
Write recursive and mutually recursive programs using the Racket programming language 
Explain when state is needed in value-oriented programming
Develop test procedures for simple programs
Basic data types (numbers, strings, images, booleans) 
Basic primitive operations (and, or, +, etc.) 
Abstracting over expressions to create functions 
Documenting and commenting functions
What makes a good test case and a comprehensive test suite 
Conditionals
Compound data (records or structs)
Writing and testing programs over lists (of both primitive data and compound data) 
Writing and testing programs over binary trees
Writing and testing programs over n-ary trees
Working with higher-order functions (functions as arguments) 
Accumulator-style programs
Changing contents of data structures 
Mutating variables","AL--Fundamental Data Structures and Algorithms
PL--Functional Programming
SDF--Algorithms and Design
SDF--Fundamental Programming Concepts
SDF--Fundamental Data Structures
SDF--Development Methods
","AL
PL
SDF",,,
Data Abstraction and Data Structures,"Abstract data types and their implementation as data structures using object-oriented programming. Use of object- oriented principles in the selection and analysis of various ADT implementations. Sequential and linked storage representations: lists, stacks, queues, and tables. Nonlinear data structures: trees and graphs. Recursion, sorting, searching, and algorithm complexity.
Apply appropriate data structures and abstract data types (ADT) such as bags, lists, stacks, queues, trees, tables, and graphs in problem solving.
Apply object-oriented principles of polymorphism, inheritance, and generic programming when implementing ADTs for data structures.
Create alternative representations of ADTs either from implementation or the standard libraries. Apply recursion as a problem solving technique.
Determine appropriate ADTs and data structures for various sorting and searching algorithms. Determine time and space requirements of common sorting and searching algorithms.","SP--Professional Communication
SDF--Fundamental Data Structures
AL--Basic Analysis
","SP
SDF
AL",,,
Software Engineering Practices,"Typical outline of course topics includes:
Introduction to Software Engineering Models of Software Process
Project Planning and Organization Software Requirements and Specifications Software Design Techniques
Software Quality Assurance Software Testing
Software Tools and Environments","SE--Software Processes
SE--Software Project Management
SE--Requirements Engineering
SE--Software Design
SE--Software Construction
SE--Software Verification and Validation
SE--Software Evolution
SE--Formal Methods
",SE,,,
CS169,"Introduction to SaaS and software lifecycles: Waterfall, Spiral, RUP, Agile
Project Management: Pair programming and Scrum vs. Planning and Project manager 
Requirements Elicitation: User Stories vs. Contracts
Testing: Behavior Driven Design and Test Driven Development vs. Code then test 
Maintenance: Legacy, Refactoring, and Agile
Version control systems and releases 
Design patterns
Performance, reliability, and security","SE--Software Processes
SE--Software Project Management
SE--Tools and Environments
SE--Requirements Engineering
SE--Software Design
SE--Software Construction
SE--Software Verification and Validation
SE--Software Evolution
SE--Formal Methods
SE--Software Reliability
",SE,,,
SE-2890,"Introduction to software engineering practices 
Requirements and Use Cases
Software Reviews, Version Control, and Configuration Management 
Design: Object domain analysis, associations, behavior
Design and Design Patterns
Java Review (almost a year since last use) 
Code reviews and software testing  Week 10 - Applications to embedded systems
","SE--Software Processes
SE--Software Project Management
SE--Tools and Environments
SE--Requirements Engineering
SE--Software Design
SE--Software Verification & Validation
",SE,,,
Software Development,"This course presents introductory software engineering concepts including group development, large-scale project work, and theoretical aspects of object-oriented programming. The course expands on material from previous courses. Professional behavior and ethics represent an important component of this course.
This course is being used as an exemplar of how we incorporate communication outcomes into the core curriculum. The catalog description looks very much like other courses for software development; however, the real difference is in the execution of the course and how the communication skills are integrated into the assignments.
CSC 225 (Introduction to Software Development) is an experiential introduction to software development that focuses on learning basic software development principles and communications skills by developing an ongoing project (i.e., the project is carried over and developed during each iteration of the course).  Students work as   software development teams in the context of a workplace scenario where assignments are reports to a supervisor who uses the information reported for subsequent tasks such as reports for upper management. This strategy focuses students’ learning on selecting critical information for the supervisor to use and presenting it in an accessible and persuasive manner. Student learning occurs through two sets of linked assignments that use formative assessment to achieve competence at the first-semester sophomore level.","SP--Professional Communication
SDF--Development Methods
SE--Tools and Environments
SE--Process Management
","SP
SDF
SE",,,
CS2200,"The course represents a novel integrated approach to presenting side by side both the architecture and the operating system of modern computer systems, so that students learn how the two complement each other in making the computer what it is. The course consists of five modules, corresponding to the five major building blocks of any modern computer system: processor, memory, parallelism, storage, and networking. Both the hardware and system software issues are covered concomitantly in presenting the five units. Topics covered include
Processor design including instruction-set design, processor implementation (simple as well as pipelined with the attendant techniques for overcoming different kinds of hazards), processor performance (CPI, IPC, execution time, Amdahl’s law), dealing with program discontinuities (interrupts, traps, exceptions), and design of interrupt handlers
Processor scheduling algorithms including FCFS, SJF, priority, round robin, with Linux scheduler as a real world example
Memory system including principles of memory management in general (paging in particular) and the necessary hardware support (page tables, TLB), page replacement algorithms, working set concepts, the inter-relationship between memory management and processor scheduling, thrashing, and context switching overheads
Memory hierarchy including different organizations of processor caches, the path of memory access from the processor through the different levels of the memory hierarchy, interaction between virtual memory and processor caches, and page coloring
Parallel programming (using pthreads), basic synchronization (mutex locks, condition variables) and communication (shared memory), program invariants, OS support for parallel programming, hardware support for parallel programming, rudiments of multiprocessor TLB and cache consistency
Basics of I/O (programmed data transfer, DMA), interfacing peripherals to the computer, structure of device driver software
Storage subsystem focusing on hard disk (disk scheduling), file systems (naming, attributes, APIs, disk allocation algorithms), example file systems (FAT, ext2, NTFS)
Networking subsystem focusing on the transport layer protocols (stop and wait, pipelined, congestion control, windowing) , network layer protocols (Dijkstra, distance vector) and service models (circuit-, message-, and packet-switching), link layer protocols (Ethernet, token ring)
Networking gear (NIC, hubs/repeater, bridge, switch, VLAN)
Performance of networking (end-to-end latency, throughput, queuing delays, wire delay, time of flight, protocol overhead).","SF--Processor architecture
SF--Program discontinuities
SF--Processor performance metrics
SF--Principles of pipelining
SF--Processor Scheduling
SF--Scheduling performance metrics
SF--Memory management
SF--Page-based memory management
SF--Processor caches
SF--Main memory
SF--Memory system performance metrics
SF--Parallel programming
SF--OS support for parallel programming
SF--Architecture support for parallel programming
SF--Input/output
SF--Disk subsystem
SF--File systems
SF--Transport layer
SF--Network layer
SF--Link layer
SF--Networking gear
SF--Network performance
",SF,,,
CS61C,"Introduction to C: this includes coverage of the Hardware/Software Interface (e.g., machine and assembly language formats, methods of encoding instructions and data, and the mapping processes from high level languages, particularly C, to assembly and machine language instructions). Computer architectures: how processors interpret/execute instructions, Memory Hierarchy, Hardware Building Blocks, Single CPU Datapath and Control, and Instruction Level Parallelism. The concept of parallelisms, in particular, task level parallelism, illustrated with Map-Reduce processing; Data Level Parallelism, illustrated with the Intel SIMD instruction set; Thread Level Parallelism/multicore programming, illustrated with openMP extensions to the C programming language.","SF--Computational Paradigms
SF--Cross-Layer Communications
SF--State-State Transition-State Machines
SF--Parallelism
SF--Performance
SF--Proximity
SF--Virtualization and Isolation
SF--Reliability Through Redundancy
",SF,,,
CSE333,"The major goal of the course is to give students principles, skills, and experience in implementing complex,  layered systems. The course includes a quarter-long programming project in which students: (a) build rudimentary data structures in C, such as linked lists, chained hash tables, AVL trees; (b) use them to build an in-memory inverted index and file system crawler; (c) construct a C++-based access methods for writing indexes to disk and accessing disk-based indexes efficiently; and (d) construct a concurrent (threaded or event-driven) web server that exposes a search application.
A substantial portion of the course focuses on giving students in-depth C and C++ skills and experience with practical engineering tools such as debuggers, unit testing frameworks, and profilers. The course stresses the discipline of producing well-structured and readable code, including techniques such as style guidelines and code reviews. Additionally, the course covers topics such as threaded vs. event-driven concurrency, the Linux system call API, memory management, and some security and defensive programming techniques.
C programming
pointers, structs, casts; arrays, strings dynamic memory allocation
C preprocessors, multifile programs core C libraries
error handling without exceptions
C++ programming
class definitions, constructors and destructors, copy constructors
dynamic memory allocation (new / delete), smart pointers, classes with dynamic data inheritance, overloading, overwriting
C++ templates and STL
Tools and best practices compilers, debuggers, make
leak detectors, profilers and optimization, code coverage version control
code style guidelines; code review
Systems topics: the layers below (OS, compiler, network stack) concurrent programming, including threading and asynchronous I/O file system API
sockets API
understanding the linker / loader
fork / join, address spaces, the UNIX process model

","SF--Cross-layer Communications
SF--Support for Parallelism
SF--Proximity
AR--Assembly level machine org.
AR--Memory system org. and arch.
IM--Indexing
NC--Networked applications
OS--Principles
OS--Concurrency
OS--File systems
PL--Object-oriented Programming
PL--Event-Driven and Reactive Programming
SE--Tools and environments
SE--Software construction
SE--Software Verification and Validation
","SF
AR
IM
NC
OS
PL
SE",,,
IFSM304,"This course is a comprehensive study of ethics and of personal and organizational ethical decision making in the use of information systems in a global environment. The aim is to identify ethical issues raised by existing and emerging technologies, apply a structured framework to analyze risk and decision alternatives, and understand the impact of personal ethics and organizational values on an ethical workplace. 
apply relevant ethical theories, laws, regulations, and policies to decision making to support organizational compliance
recognize business needs, social responsibilities, and cultural differences of ethical decision making to operate in a global environment
identify and address new and/or increased ethical issues raised by existing and emerging technologies
foster and support an ethical workforce through an understanding of the impact of personal ethics and organizational values
apply a decision-making framework to analyze risks and decision alternatives at different levels of an organization
Technology-related Ethical Global issues (multi-national corporation) Decision making frameworks to technology-related ethical issues Organizational policy to address the technology-related ethical issue Research existing or emerging technology and its ethical impact
Study group presentation of research on existing or emerging technology and related ethical issues
a reflective piece on class learning as it applies to ethics in information technology","SP--Social Context
SP--Analytical Tools
SP--Professional Ethics
SP--Intellectual Property
SP--Privacy and Civil Liberties
SP--Professional Communication
",SP,,,
Technology Consulting in the Community,"This course has service, personal, and intellectual goals. Its service goal is to build the technical capacity of community organizations by providing effective technology consultants. To promote this effectiveness, and to enrich the intellectual preparation of Carnegie Mellon students, the course teaches students how to:
Establish a professional working relationship
Quickly assess a complex technical environment and identify problem areas 
Systematically bring structure to unstructured problems
Communicate technical ideas to an often non-technical audience 
Negotiate with the client acceptable deliverables for the consulting period 
Develop and execute a work plan
Use writing skills to maintain working documents that describe, plan, persuade, and coordinate work with others
Reflect and learn from their experience as well as the experience of their colleagues 
Broaden their understanding of the relevance of information systems and computer science.
Students routinely find the experience to be very personally satisfying. Student consultants learn that they can be effective in helping a community organization make better use of its computers, and help its staff and/or volunteers understand more about the technology. Students also often express that it is refreshing to step outside the grind of Carnegie Mellon life and do something worthwhile in the community.
Capacity-Building Consulting and Alternative Consulting Models Establishing and Managing Professional Relationships
Gathering and Analyzing Information Structuring unstructured problems Researching alternative solutions Analyzing Buy vs. Build
Technology Planning
Developing and Communicating a Scope of Work and Work Plan Modelling Technical Problem Solving
Communicating Difficult Technical Concepts to a Nontechnical Audience Documenting and Analyzing Outcomes
Formulating Persuasive Recommendations Synthesizing a Final Consulting Report Orally Presenting Project Outcomes Reflecting on the Consulting Experience","SP--Social Context
SP--Analytical Tools
SP--Professional Ethics
SP--Professional Communication",SP,,,
Issues in Computing,"In the context of widespread computer usage and society’s ever-growing dependence on computer technology, the course focuses on issues of ethics for the computing professional. A list of topics:
Introduction to Computer Ethics Survey of the tools of ethical analysis
Practical applications of the tools of ethical analysis Professional ethics
Privacy issues
Intellectual property protection issues Freedom of expression and the Internet
Ethical dimensions of computer system reliability Digital Divide
Social impact of technology in the workplace, in education, in healthcare","SP--Social Context
SP--Analytical Tools
SP--Professional Ethics
SP--Intellectual Property
SP--Privacy and Civil Liberties
SP--Professional Communication
SP--Economies of Computing
SP--Security Policies, Laws, and Computer Crime
",SP,,,
CSI 194,"Students learn ethics and moral philosophy as a means for providing a framework for ethically grounded decision making in the information age. Topics include the basic concepts and theories of ethics (moral reasoning and normative frameworks); basic concepts of argumentation and inductive reasoning; an introduction to cyberethics; issues related to networking and network security (threats related to breaches, countering breaches; privacy and personal autonomy (anonymity and accountability, identity theft); intellectual property and ownership rights (Digital Millennium Copyright Act, digital rights management, alternatives to the property model); computing and society, social justice, community, and self-identity digital divide, free speech and censorship; professional ethics and codes of conduct. Four hours are assigned to testing.","SP--Social Context
SP--Analytical Tools
SP--Professional Ethics
SP--Intellectual Property
SP--Privacy and Civil Liberties
SP--Security Policies, Laws and Computer Crimes
",SP,,,
Professional Development Seminar,"While the course covers Social and Professional Practice topics such as social context, analytical tools, professional ethics, intellectual property, privacy and civil liberties, this exemplar will focus on professional communications.
The course provides opportunities for students to develop their professional communication skills. This exemplar includes examples of four Professional Communication outcomes:
Write clear, concise, and accurate technical documents following well-defined standards for format and for including appropriate tables, figures, and references.
Develop and deliver a good quality formal presentation.
Plan interactions (e.g. virtual, face-to-face, shared documents) with others in which they are able to get their point across, and are also able to listen carefully and appreciate the points of others, even when they disagree, and are able to convey to others that they have heard.
Describe the strengths and weaknesses of various forms of communication (e.g. virtual, face-to-face, shared documents)
","SP--Professional Communication
",SP,,,
The Digital Age,"The course provides both an introduction to a broad range of computer science topics and discussion of social and ethical issues. Topics vary according to faculty interest and current events.
The technical topics for spring 2013 include: Algorithms & efficiency
Data representation 
Digital  logic 
Computer organization 
HTML
Usability 
Networks
Programming in Python
Discussion topics include: Ethics
Software reliability 
Digital data & copyright
Software as intellectual property 
Artificial intelligence
Data mining 
Privacy & security 
Online education 
Online voting 
Energy
","AL--Basic Analysis
AL--Basic Automata Computability and Complexity
AR--Digital logic and digital systems
AR--Machine-level representation of data
AR--Assembly level machine organization
GV--Fundamental Concepts
HCI--Foundations
NC--Introduction
NC--Networked Applications
SDF--Algorithms and Design
SDF--Fundamental Programming Concepts
SP--Social Context
SP--Analytical Tools
SP--Professional Ethics
SP--Intellectual Property
SP--Privacy and Civil Liberties
SP--Sustainability
","AL
AR
GV
HCI
NC
SDF
SP",,,
COS 126,"We take an interdisciplinary approach to the traditional CS1 curriculum, where we teach students to program while highlighting the role of computing in other disciplines, then take them through fundamental precepts of the field of computer science. This approach emphasizes for students the essential idea that mathematics, science, engineering, and computing are intertwined in the modern world, while at the same time preparing students to use computers effectively for applications in computer science, physics, biology, chemistry, engineering, and other disciplines.
Instructors teaching students who have successfully completed this course can expect that they have the  knowledge and experience necessary to enable them to adapt to new computational environments and to effectively exploit computers in diverse applications. At the same time, students who choose to major in computer science get a broad background that prepares them for detailed studies in the field.
Roughly, the first half of the course is about learning to program in a modern programming model, with applications. The second half of the course is a broad introduction to the field of computer science.
Introduction to programming in Java. Elementary data types, control flow, conditionals and loops, and arrays.
Input and output. Functions  and libraries.
Analysis of algorithms, with an emphasis on using the scientific method to validate hypotheses about algorithm performance.
Machine organization, instruction set architecture, machine language programming. Data types, APIs, encapsulation.
Linked data structures, resizing arrays, and implementations of container types such as stacks and queues.
Sorting (mergesort) and searching (binary search trees). Programming languages.
Introduction to theory of computation. Regular expressions and finite automata. Universality and computability.
Intractability.
Logic design, combinational and sequential circuits. Processor and memory design.
Introduction to artificial intelligence.","SDF--Algorithms and Design
SDF--Fundamental Programming Concepts
SDF--Fundamental Data Structures
SDF--Development Methods
PL--Object-Oriented programming
PL--Basic Type Systems
AL--Basic Analysis
AL--Algorithmic Strategies
AL--Fundamental Data Structures and Algorithms
AL--Basic Automata, Computability and Complexity
AL--Advanced Automata, Computability and Complexity
AR--Architecture and Organization
AR--Machine Representation of Data
AR--Assembly level machine organization
AR--Functional Organization
CN--Fundamentals
IS--Fundamental Issues
SP--History
","SDF
PL
AL
AR
CN
IS
SP",,,
CSCI 0190,"The course is a compressed introduction into programming along with basic algorithms and data structures. It interleaves these two. The data structures cover lists, trees, queues, heaps, DAGs, and graphs; the algorithms go up through classic ones such as graph shortest paths and minimum spanning trees. The programming is done entirely with pure functions. It begins with graphical animations (such as simple video games), then higher-order   functional programming, and encodings of laziness.","AL--Advanced Data Structures, Algorithms, and Analysis
PD--Parallelism Fundamentals
PL--Object-Oriented Programming
PL--Functional Programming
PL--Event-Driven and Reactive Programming
PL--Basic Type Systems
SE--Software Design
SE--Software Verification and Validation
","AL
PD
PL
SE",,,
CSC 221,"This course provides an introduction to problem solving and programming using the Python scripting language. The specific goals of this course are:
To develop problem solving and programming skills to enable the student to design solutions to non- trivial problems and implement those solutions in Python.
To master the fundamental programming constructs of Python, including variables, expressions, functions, control structures, and lists.
To build a foundation for more advanced programming techniques, including object-oriented design and the use of standard data structures (as taught in CSC 222).","SDF--Algorithms and Design
SDF--Fundamental Programming Concepts
SDF--Fundamental Data Structures
SDF--Development Methods
PL--Object-Oriented Programming
PL--Basic Type Systems
PL--Language Translation and Execution
AL--Fundamental Data Structures and Algorithms
SP--History
","SDF
PL
AL
SP",,,
CSC 222,"Building upon basic programming skills in Python from CSC 221, this course focuses on the design and analysis of larger, more complex programs using the industry-leading language, Java. The specific goals of this course are:
To know and use basic Java programming constructs for object-oriented problem solving (e.g., classes, polymorphism, inheritance, interfaces)
To appreciate the role of algorithms and data structures in problem solving and software design (e.g., objected-oriented design, lists, files, searching and sorting)
To be able to design and implement a Java program to model a real-world system, and subsequently analyze its behavior.
To develop programming skills that can serve as a foundation for further study in computer science.","SDF--Algorithms and Design
SDF--Fundamental Programming Concepts
SDF--Fundamental Data Structures
SDF--Development Methods
PL--Object-Oriented Programming
PL--Basic Type Systems
AL--Basic Analysis
AL--Fundamental Data Structures and Algorithms
SE--Software Design
SE--Software Construction
SE--Software Verification and Validation
","SDF
PL
AL
SE",,,
